"Country","Code","Gini","Pobreza","Ingreso20","Desempleo","LogPBI"
"Albania","ALB",29.4,0.3,8.4,6413.28280828537,8.76612655739457
"Argentina","ARG",42.4,1.4,5,10738.0179223384,9.28154580003853
"Armenia","ARM",27.9,2.1,9.4,4685.17997128509,8.45215960829652
"Australia","AUS",33.8,1,7.3,60607.7788605166,11.0121785278544
"Austria","AUT",30.7,0.5,7.7,53648.7190742245,10.8902128721769
"Benin","BEN",34.4,27.2,7.6,1318.65158107487,7.18436496397483
"Burkina Faso","BFA",37.4,42.1,7.3,895.535288442991,6.79742162713752
"Bangladesh","BGD",31.15,8.16666666666667,8.76666666666667,2482.84917843357,7.81716204199339
"Bulgaria","BGR",39,1.2,6.1,12972.2173356002,9.47056522149594
"Bolivia","BOL",40.9,3.1,5.3,3384.84486462654,8.12706335405287
"Chile","CHL",45,1.1,5.4,16206.8325493421,9.69318819460882
"China","CHN",35.7,0,7.4,12887.4357242941,9.46400814086712
"Colombia","COL",55.1,11.2,3.1,6222.62164397614,8.73594658310268
"Costa Rica","CRI",48.7,2.2,4.3,12838.1185359009,9.46017403503527
"Djibouti","DJI",41.6,25.4,5.4,3025.91126413549,8.01496756944229
"Ecuador","ECU",45.8,5.3,4.6,6061.32350181711,8.70968345485742
"Estonia","EST",31.8,0.3,8.1,27953.7670230126,10.2383072467114
"Fiji","FJI",30.7,4.7,8.4,4696.17103944634,8.45450278321398
"Georgia","GEO",34.2,10.8,7,5083.60695484577,8.53377631910159
"Guinea","GIN",29.6,11.7,8.5,1244.96550477914,7.12686310151025
"Guinea-Bissau","GNB",33.4,39.9,7.9,912.484104692847,6.81617066579024
"Guatemala","GTM",45.8888888888889,9.32222222222222,4.57777777777778,4912.62225721201,8.49956314283212
"Honduras","HND",47.5,17.9,3.6,2735.14751503977,7.91394064943075
"Indonesia","IDN",35.5,8.6,7.6,4287.17313995098,8.36338285298817
"India","IND",25.8,7.28181818181818,10.3363636363636,2239.61384367482,7.71405873877141
"Israel","ISR",37.9,0.7,5.6,52270.9040241956,10.8641951668357
"Jamaica","JAM",39.9,1.4,5.7,5165.33782130331,8.54972578528192
"Kenya","KEN",38.7,46.4,7.2,2061.35622089594,7.6311194048182
"Sri Lanka","LKA",37.7,2.7,7.4,3996.96240014909,8.29328995164909
"Madagascar","MDG",36.8,51.3,7.2,483.469463351371,6.18098815540425
"Malta","MLT",31.6,0.1,8.3,38065.354346575,10.5470598126836
"Montenegro","MNE",34.3,2.5,6.2,9377.48879714989,9.14606728730323
"Mongolia","MNG",31.725,0.725,8.125,4517.61578018785,8.41573965139924
"Mozambique","MOZ",49.9666666666667,51.3,4.63333333333333,509.907829475551,6.23422998286684
"Mauritania","MRT",32,10.2,7.8,1947.78918383313,7.5744502564945
"Malawi","MWI",38.5,51.3,7,617.447520802454,6.42559407833584
"Nigeria","NGA",34.2,39.9,7.4,2017.27486481527,7.60950280274771
"Nicaragua","NIC",46.2,6.6,5.1,2138.38588469449,7.66780656393054
"Portugal","PRT",34.6,0.3,7.4,24711.4510062111,10.1150220186755
"Paraguay","PRY",42.9,1.9,5.5,5976.9317978996,8.69566263800118
"Rwanda","RWA",40.6285714285714,45.8,7,829.544845639777,6.72087717162877
"Senegal","SEN",36.2,17.9,7.3,1598.10676952274,7.37657493856403
"El Salvador","SLV",39,5.1,5.6,4642.60743101342,8.44303143372668
"Serbia","SRB",33.1,1.7,7.1,9680.52798074468,9.17787172224854
"Chad","TCD",37.425,40.1,6.95,946.358500208374,6.85262146154252
"Togo","TGO",37.9,34.4,6.8,939.613373786407,6.84546848617261
"Tonga","TON",27.1,0.4,9.3,4912.57966349119,8.49955447253279
"Uganda","UGA",42.7,51.3,6.1,882.791717442001,6.78308929219312
"Uruguay","URY",40.8,0.2,5.7,17881.818721099,9.79153976173683
"Viet Nam","VNM",36.45,1.45,6.7,3704.1935590038,8.21722085115122
"Kosovo","XKX",49.4,25,1.9,5270.42965289833,8.56986716627637
"Zambia","ZMB",52.1142857142857,51.3,3.78571428571429,1127.16077872857,7.02745716467088
