"Country","Code","Gini","Pobreza","Ingreso20","Desempleo","LogPBI"
"Albania","ALB",30.1,0.3,8.5,5460.4305086932,8.60528291337664
"Argentina","ARG",43.3,1.7,4.6,9955.97478680428,9.20592813102187
"Armenia","ARM",30,2.4,8.9,4597.22887399548,8.4332089822535
"Australia","AUS",34.05,0.75,7.35,54972.7017885437,10.9145920098842
"Austria","AUT",30.2,0.6,7.9,49885.9947355204,10.8174955757225
"Benin","BEN",36.7333333333333,33.8666666666667,7.2,1130.82135339795,7.03069950908468
"Burkina Faso","BFA",41.1333333333333,45.8333333333333,6.63333333333333,764.853077774946,6.63968376018543
"Bangladesh","BGD",31.65,12.7,8.7,2129.79896954606,7.66378287375454
"Bulgaria","BGR",40.3,1.6,5.7,10372.8044341114,9.24694270189551
"Bolivia","BOL",41.6,3.1,5.1,3503.89601123129,8.16163077445588
"Chile","CHL",46.4333333333333,1.3,5.13333333333333,14495.716721687,9.58160848626559
"China","CHN",38.2,0,6.7,10342.9009524335,9.24405566504204
"Colombia","COL",51.3,8.8,3.7,6472.54544924705,8.77532473350093
"Costa Rica","CRI",48.2,1.7,4.4,12884.6859951947,9.46379475299478
"Djibouti","DJI",41.6,25.4,5.4,2837.16902340932,7.95056201125385
"Ecuador","ECU",45.7,4.6,4.5,6205.05765246766,8.73311998888767
"Estonia","EST",30.8,0.7,8.1,24021.2501413306,10.0866941401302
"Fiji","FJI",30.7,4.7,8.4,5950.82866866702,8.6912857608871
"Georgia","GEO",35.9,9.7,6.8,4741.2832715876,8.46406311045017
"Guinea","GIN",29.6,11.7,8.5,1031.34146480732,6.93861562686238
"Guinea-Bissau","GNB",34.3333333333333,38.0333333333333,7.83333333333333,807.425524872835,6.69385082158378
"Guatemala","GTM",46.5777777777778,8.94444444444444,4.55555555555556,4511.99755157656,8.41449525053071
"Honduras","HND",48.2,18.8,3.6,2502.32744328073,7.82497655507798
"Indonesia","IDN",35.4,10.8,7.6,4106.94856160358,8.32043558931119
"India","IND",26.4,11.2454545454545,10.2090909090909,2041.42863698585,7.62140515398203
"Israel","ISR",38.3,1,5.3,44250.6313628073,10.6976249184203
"Jamaica","JAM",36.8333333333333,0.733333333333333,6.76666666666667,5607.24299266608,8.63181443256043
"Kenya","KEN",37.12,43.06,7.08,1960.40808854893,7.58090793899552
"Sri Lanka","LKA",37.7,2.7,7.4,4081.94772722003,8.31432953760921
"Madagascar","MDG",38.0888888888889,53,6.86666666666667,499.818837622534,6.21424570801179
"Malta","MLT",31,0.3,8.2,32421.9179753188,10.3865899537902
"Montenegro","MNE",35.7,2.5,5.9,8842.48528706869,9.08732325719006
"Mongolia","MNG",32.375,1.375,7.975,4347.54610314873,8.37736685069176
"Mozambique","MOZ",50.7,53,4.5,519.09255091362,6.25208219272756
"Mauritania","MRT",32,10.2,7.8,1767.072710621,7.47707962066437
"Malawi","MWI",38.5,53,7,580.889816066776,6.364561093543
"Nigeria","NGA",34.8,36.1,7.2,2265.15520863056,7.72539856035112
"Nicaragua","NIC",46.2,6.6,5.1,1958.62051528095,7.57999568569367
"Portugal","PRT",32.8,0.2,7.6,23343.3628970034,10.0580679784523
"Paraguay","PRY",45.7,2.4,4.8,5821.18199548637,8.66925861211306
"Rwanda","RWA",41.8571428571429,53,6.6,810.051412137354,6.69709771742675
"Senegal","SEN",37.6,18.7,7.16666666666667,1431.18128932159,7.26625545868926
"El Salvador","SLV",38.8,3,6.3,4320.11671534627,8.37103769831446
"Serbia","SRB",34.5,2.7,6.4,7755.632986437,8.95617469528895
"Chad","TCD",37.475,41.3,7.05,893.336441643325,6.79496326428222
"Togo","TGO",40.9666666666667,34.8666666666667,6.13333333333333,826.260654099894,6.71691028560608
"Tonga","TON",29.2333333333333,1.6,8.76666666666667,4676.84802517145,8.45037966311444
"Uganda","UGA",42.7,53,6.1,822.171150141651,6.71194858523426
"Uruguay","URY",39.7,0.1,5.8,18315.7316980028,9.81551562516581
"Viet Nam","VNM",36.25,1.75,6.65,3440.90025375434,8.14348841780231
"Kosovo","XKX",40.2,11.3,4.3,4415.99716107514,8.39298894508425
"Zambia","ZMB",53.3428571428571,53,3.55714285714286,1258.98619844462,7.13806207166863
