"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Egipto, República Árabe de","EGY",NA,NA,NA,NA,31.8,NA,NA,NA,31.1,NA,30.2,NA,28.3,NA,NA,31.8,NA,31.5,NA,31.9,NA,28.5,NA,NA,NA
"España","ESP",34.1,NA,NA,31.8,33.3,32.4,33.5,34.1,34.2,34.9,35.2,35.7,35.4,36.2,36.1,36.2,35.8,34.7,34.7,34.3,34.9,33.9,33.6,33.4,NA
"Estonia","EST",35.8,36,35.8,37.2,33.6,33.4,33.7,31.2,31.9,31.4,32,32.5,32.9,35.1,34.6,32.7,31.2,30.4,30.3,30.8,30.7,31.8,32.3,30.7,NA
"Etiopía","ETH",NA,NA,NA,NA,29.8,NA,NA,NA,NA,NA,33.2,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,31.1,NA,NA,NA
"Finlandia","FIN",27.2,NA,NA,27.7,27.9,27.6,28,28.3,27.8,27.5,27.7,27.6,27.1,27.2,26.8,27.1,27.1,27.4,27.3,27.7,27.1,27.7,27.9,27.4,NA
"Fiji","FJI",NA,NA,38.1,NA,NA,NA,NA,NA,40.4,NA,NA,NA,NA,36.7,NA,NA,NA,NA,NA,30.7,NA,NA,NA,NA,NA
"Francia","FRA",32.6,32.5,31.8,31.4,30.6,29.8,29.7,32.4,33,32.7,33.7,33.3,33.1,32.5,32.3,32.7,31.9,31.6,32.4,31.2,30.7,31.5,31.2,31.8,NA
"Reino Unido","GBR",38.8,37.1,35.1,34.9,34.8,35.5,35.9,34.4,35.4,35.1,33.7,33.2,33.1,32.7,33.1,33.3,33.1,32.6,33.7,32.8,32.6,32.4,NA,NA,NA
"Georgia","GEO",40.5,39.6,37.2,36.6,36.2,37.4,36.9,38.1,38.5,38.2,39.5,39.6,39,38.6,37.6,36.5,36.6,37.9,36.4,35.9,34.5,34.2,33.5,34.8,33.9
"Guinea","GIN",NA,NA,43,NA,NA,NA,NA,39.4,NA,NA,NA,NA,33.7,NA,NA,NA,NA,NA,29.6,NA,NA,NA,NA,NA,NA
"Gambia","GMB",NA,NA,NA,47.3,NA,NA,NA,NA,NA,NA,43.6,NA,NA,NA,NA,35.9,NA,NA,NA,NA,38.8,NA,NA,NA,NA
"Guinea-Bissau","GNB",NA,NA,35.6,NA,NA,NA,NA,NA,NA,NA,50.6,NA,NA,NA,NA,NA,NA,NA,34.8,NA,NA,33.4,NA,NA,NA
"Grecia","GRC",34.4,NA,35.5,32.8,33.6,34.6,35.1,34,33.6,33.6,34.1,34.8,36.3,36.1,35.8,36,35,34.4,32.9,33.1,33.6,32.9,33.4,33.4,NA
"Guatemala","GTM",54.2,NA,NA,NA,NA,NA,54.5,NA,NA,NA,NA,NA,NA,NA,48.3,NA,NA,NA,NA,NA,NA,NA,NA,45.2,NA
