"Country Name","Country Code","2015","2019","2021","log_2015","log_2019","log_2021"
"Albania","ALB",3981.72662261867,5460.4305086932,6413.28280828537,8.28947082898228,8.60528291337664,8.76612655739457
"Argentina","ARG",13679.6264980954,9955.97478680428,10738.0179223384,9.52366288803301,9.20592813102187,9.28154580003853
"Armenia","ARM",3512.39350276709,4597.22887399548,4685.17997128509,8.16405299368544,8.4332089822535,8.45215960829652
"Australia","AUS",56739.0265346593,54972.7017885437,60607.7788605166,10.9462175516182,10.9145920098842,11.0121785278544
"Austria","AUT",43915.228020857,49885.9947355204,53648.7190742245,10.6900164186606,10.8174955757225,10.8902128721769
"Azerbaijan","AZE",5500.50364628486,4805.75371765917,5408.04535175023,8.61259493907989,8.47756917021831,8.59564300373613
"Belgium","BEL",40893.804537772,46716.6227467964,51658.238294958,10.6187338522628,10.7518553277916,10.8524049641512
"Benin","BEN",1002.41886879614,1130.82135339795,1318.65158107487,6.91017122702415,7.03069950908468,7.18436496397483
"Burkina Faso","BFA",630.124750752312,764.853077774946,895.535288442991,6.44591781684995,6.63968376018543,6.79742162713752
"Bangladesh","BGD",1224.38647668165,2129.79896954606,2482.84917843357,7.11019516215699,7.66378287375454,7.81716204199339
"Bulgaria","BGR",7268.65445473873,10372.8044341114,12972.2173356002,8.89132647151867,9.24694270189551,9.47056522149594
"Bosnia and Herzegovina","BIH",4662.25883724069,6122.3753450882,7295.3438240957,8.44725533869814,8.71970542848646,8.89499159131926
"Belarus","BLR",5967.05595058777,6837.77339645635,7489.71894713888,8.69400894414777,8.83021743078737,8.92128655206075
"Bolivia","BOL",2996.01289811344,3503.89601123129,3384.84486462654,8.00503764973914,8.16163077445588,8.12706335405287
"Brazil","BRA",8936.19661712113,9029.83326681073,7972.5366498646,9.09786534331821,9.10828918187852,8.98375799590903
"Bhutan","BTN",2954.04081911097,3576.87987100503,3570.61257980872,7.99092928124601,8.1822461549671,8.18049245103647
"Canada","CAN",43594.1941045394,46352.8693445211,52886.6616372703,10.6826792577303,10.7440384751086,10.8759064430903
"Switzerland","CHE",83806.4476003837,84121.9310304414,93664.7736696111,11.3362652238491,11.340022585217,11.4474774495106
"Chile","CHL",13433.9202987032,14495.716721687,16206.8325493421,9.50553815300463,9.58160848626559,9.69318819460882
"China","CHN",8175.33285077393,10342.9009524335,12887.4357242941,9.00887671062759,9.24405566504204,9.46400814086712
"Cote d'Ivoire","CIV",1814.71855088017,2141.76836170115,2455.98127626488,7.50368566628902,7.66938710403077,7.80628166556732
"Cameroon","CMR",1415.00009710569,1555.22660476477,1672.32657340872,7.25488487870326,7.34937654053309,7.42197109359673
"Colombia","COL",6248.51490534512,6472.54544924705,6222.62164397614,8.74009909935072,8.77532473350093,8.73594658310268
"Costa Rica","CRI",11714.7105980803,12884.6859951947,12838.1185359009,9.36860064710115,9.46379475299478,9.46017403503527
"Cyprus","CYP",23487.228515625,29703.052734375,33734.03515625,10.0642120849801,10.2990051051779,10.4262625519781
"Czechia","CZE",17931.5987670768,24062.7190013343,27696.4619527544,9.79431972977833,10.0884189923429,10.2290599566802
"Germany","DEU",41911.0109851054,47623.8656074829,52265.6541620571,10.6433038633937,10.7710892928799,10.8640947261433
"Djibouti","DJI",2376.12554719873,2837.16902340932,3025.91126413549,7.77322651881667,7.95056201125385,8.01496756944229
"Denmark","DNK",53094.0133607574,59404.2663247723,69727.9873677012,10.8798194581388,10.9921213264209,11.152357056579
"Dominican Republic","DOM",6800.95309395474,8183.01623600375,8527.0754858205,8.82481804221828,9.00981609463928,9.05100173126772
"Ecuador","ECU",5976.1596805651,6205.05765246766,6061.32350181711,8.69553344676442,8.73311998888767,8.70968345485742
"Egypt, Arab Rep.","EGY",3306.98159414141,2962.98892023003,3827.35415374308,8.10379114723948,7.99395380819095,8.24992902197058
"Spain","ESP",25982.4416197775,29786.5245689007,30799.4775937775,10.1651762665545,10.3018113745477,10.3352530075768
"Estonia","EST",17722.1557669523,24021.2501413306,27953.7670230126,9.78257087403664,10.0866941401302,10.2383072467114
"Ethiopia","ETH",621.845673808133,828.709080522921,910.947887074508,6.43269194910543,6.71986916534645,6.81448569153429
"Finland","FIN",42560.3456767103,48358.1807773701,53099.1351400148,10.6586782460857,10.7863906856872,10.8799159197154
"Fiji","FJI",5097.53106864695,5950.82866866702,4696.17103944634,8.53651159730928,8.6912857608871,8.45450278321398
"France","FRA",36702.4323733379,40408.2848574751,43725.0999521245,10.5105983090491,10.6067901136547,10.6856775858104
"United Kingdom","GBR",44983.885522934,42794.0022648288,46926.475736105,10.7140596051292,10.6641532377509,10.756337309785
"Georgia","GEO",4086.6223465965,4741.2832715876,5083.60695484577,8.31547407572165,8.46406311045017,8.53377631910159
"Guinea","GIN",747.356966759448,1031.34146480732,1244.96550477914,6.61654293813853,6.93861562686238,7.12686310151025
"Gambia, The","GMB",619.536364296461,738.186751987483,781.890925169531,6.42897139877577,6.6041968440619,6.66171524893641
"Guinea-Bissau","GNB",645.066837207039,807.425524872835,912.484104692847,6.46935393500403,6.69385082158378,6.81617066579024
"Greece","GRC",17980.7298238137,19335.3602002969,20654.7001960815,9.79705589807022,9.86969083331172,9.93569818489045
"Guatemala","GTM",3893.50522093509,4511.99755157656,4912.62225721201,8.26706511595234,8.41449525053071,8.49956314283212
"Honduras","HND",2271.20265980349,2502.32744328073,2735.14751503977,7.72806477625859,7.82497655507798,7.91394064943075
"Croatia","HRV",12285.3032582105,15563.8167397199,17789.9304736722,9.41615896989363,9.65270405940906,9.78638787248317
"Hungary","HUN",12782.9412577973,17012.8598553199,19030.628130329,9.45586684681969,9.74172479914276,9.85380496711956
"Indonesia","IDN",3288.22269725538,4106.94856160358,4287.17313995098,8.09810248419129,8.32043558931119,8.36338285298817
"India","IND",1583.99815907985,2041.42863698585,2239.61384367482,7.36770741017663,7.62140515398203,7.71405873877141
"Ireland","IRL",64311.8234684057,81810.1926481407,103961.976350649,11.0714987730794,11.3121571193288,11.5517804992582
"Iran, Islamic Rep.","IRN",4952.73355532178,3831.27894763337,4334.79268631354,8.50769493653632,8.25095395531885,8.37442906484467
"Iceland","ISL",52951.6815110898,68452.23622306,69178.4046960961,10.8771351071087,11.1338914996214,11.1444440220359
"Israel","ISR",36213.1041481958,44250.6313628073,52270.9040241956,10.4971763253543,10.6976249184203,10.8641951668357
"Italy","ITA",30639.8829751432,33812.788724868,36852.5425414951,10.3300578044981,10.4285943745503,10.5146798922928
"Jamaica","JAM",5062.8955502426,5607.24299266608,5165.33782130331,8.52969384174379,8.63181443256043,8.54972578528192
"Jordan","JOR",4042.75678097555,4170.1144003465,4183.49998326866,8.3046821097742,8.33569874855239,8.33890349173629
"Japan","JPN",34960.6393843385,40415.9567649547,40094.5599795288,10.4619781186279,10.6069799553989,10.5989959427334
"Kazakhstan","KAZ",10196.1226255982,9457.12614657136,9983.60103576902,9.22976279225756,9.15452382588937,9.2086991294511
"Kenya","KEN",1489.11959777284,1960.40808854893,2061.35622089594,7.30594035032672,7.58090793899552,7.6311194048182
"Kyrgyz Republic","KGZ",1105.65193844261,1421.99927504102,1349.99730650542,7.00819042951727,7.25981910054661,7.20785787624932
"Korea, Rep.","KOR",28737.4391706499,31902.4169048194,35125.5224984723,10.2659560523454,10.3704370509443,10.4666832819268
"Lao PDR","LAO",2121.01339097363,2589.32081035237,2526.05105018529,7.65964926806367,7.85915088491869,7.83441251259747
"Sri Lanka","LKA",4057.7158346231,4081.94772722003,3996.96240014909,8.30837549196614,8.31432953760921,8.29328995164909
"Lithuania","LTU",14269.8039878287,19608.7943945553,23870.4594851722,9.56590097441499,9.88373343818549,10.0803969686312
"Luxembourg","LUX",105462.012584423,112696.649059674,134965.815442152,11.5661060967676,11.6324549663088,11.8127768064082
"Latvia","LVA",13321.9753140616,17294.9751600969,20261.8887788916,9.49717022995096,9.75817128512259,9.91649700045097
"Moldova","MDA",2749.55137054338,4405.33418162155,5274.60582195352,7.91919303936794,8.390571399652,8.57065922985615
"Madagascar","MDG",445.320069480568,499.818837622534,483.469463351371,6.0987932808844,6.21424570801179,6.18098815540425
"Maldives","MDV",9644.90655028145,11740.2724029785,10176.143882547,9.17418523636406,9.37078029609233,9.22780142488118
"Mexico","MEX",10021.2386124039,10369.5553585271,10314.0506725979,9.21246198101164,9.24662942263093,9.24126238759068
"North Macedonia","MKD",5262.68671928674,6718.85826635458,7620.80296977508,8.56839695846082,8.81267351824232,8.93863701973987
"Mali","MLI",838.11986940103,971.949318638092,1027.27345365357,6.73116113249718,6.8793036617822,6.93466343899821
"Malta","MLT",25529.6813131565,32421.9179753188,38065.354346575,10.14759702732,10.3865899537902,10.5470598126836
"Montenegro","MNE",6491.19280618646,8842.48528706869,9377.48879714989,8.77820158421064,9.08732325719006,9.14606728730323
"Mongolia","MNG",3838.92126989984,4347.54610314873,4517.61578018785,8.25294668681964,8.37736685069176,8.41573965139924
"Mozambique","MOZ",610.563774706589,519.09255091362,509.907829475551,6.41438275116873,6.25208219272756,6.23422998286684
"Mauritania","MRT",1554.94897871782,1767.072710621,1947.78918383313,7.3491980129611,7.47707962066437,7.5744502564945
"Malawi","MWI",539.605363240686,580.889816066776,617.447520802454,6.29083806357384,6.364561093543,6.42559407833584
"Malaysia","MYS",9648.6797937523,10920.191763972,10903.1116425938,9.17457637603625,9.29836880994801,9.29680349927551
"Niger","NER",485.662574175279,561.691304349698,608.722439593808,6.1855140909479,6.33095241846733,6.41136239960404
"Nigeria","NGA",2585.73360671797,2265.15520863056,2017.27486481527,7.85776454038206,7.72539856035112,7.60950280274771
"Nicaragua","NIC",2074.45620634731,1958.62051528095,2138.38588469449,7.63745432908844,7.57999568569367,7.66780656393054
"Netherlands","NLD",45793.8135434697,53554.9007491475,60141.9880911492,10.7319042855087,10.8884625889461,11.0044635137139
"Norway","NOR",74809.9658049898,76430.5889473338,93072.8925119571,11.2227063877749,11.2441382739162,11.4411382555832
"Pakistan","PAK",1380.47020838317,1390.41690981745,1455.31922370186,7.23017945082817,7.23735891627366,7.28298055327467
"Panama","PAN",14082.6548502728,16477.9066285687,15509.8069109784,9.5526991666447,9.70977577042962,9.64922780676868
"Peru","PER",6231.71150338894,7037.00803692604,6826.20255614477,8.73740629369806,8.8589383640614,8.82852380323452
"Philippines","PHL",2909.85818010301,3400.78949767074,3484.38593882819,7.97585962361814,8.13176288884608,8.15604710647229
"Poland","POL",12637.5220324406,15874.5220531254,18635.5088812509,9.44442560674486,9.67247071641793,9.83282411936186
